Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Each Call),Environment:Site Daylight Saving Time Status [](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Each Call),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call) 
 01/21  02:51:00,-6.3,,19.046848412491536,13.383613374541822,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:52:00,-6.3,,19.03121472126102,13.383465969327402,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:53:00,-6.3,,19.014975318555228,13.383316833202949,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:54:00,-6.3,,18.998227201298908,13.383165614212944,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:55:00,-6.3,,18.981859797259675,13.383012051491765,0.0,0.0,10.35409398,10.35409398,19473.044553618973,0.0 
 01/21  02:56:00,-6.3,,18.967619233372195,13.382855987269626,0.0,0.0,10.35409398,10.35409398,19685.275850096532,0.0 
 01/21  02:57:00,-6.3,,18.957222216589288,13.382697377156302,0.0,0.0,10.35409398,10.35409398,19869.929038174916,0.0 
 01/21  02:58:00,-6.3,,18.95180132348712,13.38253629868449,0.0,0.0,10.35409398,10.35409398,20004.74408557315,0.0 
 01/21  02:59:00,-6.3,,18.951813827186269,13.38237295534791,0.0,0.0,10.35409398,10.35409398,20075.035206167544,0.0 
 01/21  03:00:00,-6.3,0.0,18.957201017834615,13.382207672345443,0.0,0.0,10.35409398,10.35409398,20074.87307439184,0.0 
 01/21  03:01:00,-6.3,,18.967595420392393,13.382040882811636,0.0,0.0,12.56684687,12.56684687,20005.018963567076,0.0 
 01/21  03:02:00,-6.3,,18.98248167824671,13.38187310560727,0.0,0.0,12.56684687,12.56684687,19870.237814054348,0.0 
 01/21  03:03:00,-6.3,,19.00129559301893,13.381704918020607,0.0,0.0,12.56684687,12.56684687,19677.21210291847,0.0 
